i	rgb	r	g	b	maxRGB	minRGB	c	h
75	103,78,68	103.0	78.0	68.0	103.0	68.0	35.0	17.1428571429
76	93,72,66	93.0	72.0	66.0	93.0	66.0	27.0	13.3333333333
77	87,72,69	87.0	72.0	69.0	87.0	69.0	18.0	10.0
78	89,68,61	89.0	68.0	61.0	89.0	61.0	28.0	15.0
79	55,38,32	55.0	38.0	32.0	55.0	32.0	23.0	15.652173913
80	50,34,30	50.0	34.0	30.0	50.0	30.0	20.0	12.0
81	50,34,29	50.0	34.0	29.0	50.0	29.0	21.0	14.2857142857
82	44,31,27	44.0	31.0	27.0	44.0	27.0	17.0	14.1176470588
83	58,43,39	58.0	43.0	39.0	58.0	39.0	19.0	12.6315789474
84	41,31,31	41.0	31.0	31.0	41.0	31.0	10.0	0.0
85	51,38,35	51.0	38.0	35.0	51.0	35.0	16.0	11.25
86	52,38,34	52.0	38.0	34.0	52.0	34.0	18.0	13.3333333333
87	52,39,36	52.0	39.0	36.0	52.0	36.0	16.0	11.25
88	39,29,31	39.0	29.0	31.0	39.0	29.0	10.0	348.0
89	54,40,37	54.0	40.0	37.0	54.0	37.0	17.0	10.5882352941
90	67,53,50	67.0	53.0	50.0	67.0	50.0	17.0	10.5882352941
91	74,69,80	74.0	69.0	80.0	80.0	69.0	11.0	267.272727273
92	75,71,79	75.0	71.0	79.0	79.0	71.0	8.0	270.0
93	72,69,78	72.0	69.0	78.0	78.0	69.0	9.0	260.0
94	131,124,120	131.0	124.0	120.0	131.0	120.0	11.0	21.8181818182
95	130,117,112	130.0	117.0	112.0	130.0	112.0	18.0	16.6666666667
96	81,77,87	81.0	77.0	87.0	87.0	77.0	10.0	264.0
97	82,78,89	82.0	78.0	89.0	89.0	78.0	11.0	261.818181818
98	81,77,87	81.0	77.0	87.0	87.0	77.0	10.0	264.0
99	79,76,86	79.0	76.0	86.0	86.0	76.0	10.0	258.0
100	82,69,58	82.0	69.0	58.0	82.0	58.0	24.0	27.5
101	62,48,42	62.0	48.0	42.0	62.0	42.0	20.0	18.0
102	72,56,49	72.0	56.0	49.0	72.0	49.0	23.0	18.2608695652
103	59,45,40	59.0	45.0	40.0	59.0	40.0	19.0	15.7894736842
104	70,53,45	70.0	53.0	45.0	70.0	45.0	25.0	19.2
105	66,50,42	66.0	50.0	42.0	66.0	42.0	24.0	20.0
106	136,118,101	136.0	118.0	101.0	136.0	101.0	35.0	29.1428571429
107	151,128,116	151.0	128.0	116.0	151.0	116.0	35.0	20.5714285714
108	139,110,90	139.0	110.0	90.0	139.0	90.0	49.0	24.4897959184
109	137,112,95	137.0	112.0	95.0	137.0	95.0	42.0	24.2857142857
110	132,106,88	132.0	106.0	88.0	132.0	88.0	44.0	24.5454545455
111	152,135,109	152.0	135.0	109.0	152.0	109.0	43.0	36.2790697674
112	149,117,90	149.0	117.0	90.0	149.0	90.0	59.0	27.4576271186
113	139,115,99	139.0	115.0	99.0	139.0	99.0	40.0	24.0
114	140,119,98	140.0	119.0	98.0	140.0	98.0	42.0	30.0
115	132,112,93	132.0	112.0	93.0	132.0	93.0	39.0	29.2307692308
116	152,123,99	152.0	123.0	99.0	152.0	99.0	53.0	27.1698113208
117	140,115,95	140.0	115.0	95.0	140.0	95.0	45.0	26.6666666667
