i	rgb	r	g	b	maxRGB	minRGB	c	h
61	97,91,72	97.0	91.0	72.0	97.0	72.0	25.0	45.6
62	130,113,77	130.0	113.0	77.0	130.0	77.0	53.0	40.7547169811
63	85,77,50	85.0	77.0	50.0	85.0	50.0	35.0	46.2857142857
64	77,76,60	77.0	76.0	60.0	77.0	60.0	17.0	56.4705882353
65	96,89,73	96.0	89.0	73.0	96.0	73.0	23.0	41.7391304348
66	72,67,55	72.0	67.0	55.0	72.0	55.0	17.0	42.3529411765
67	153,150,119	153.0	150.0	119.0	153.0	119.0	34.0	54.7058823529
68	99,90,59	99.0	90.0	59.0	99.0	59.0	40.0	46.5
69	38,32,17	38.0	32.0	17.0	38.0	17.0	21.0	42.8571428571
70	41,32,16	41.0	32.0	16.0	41.0	16.0	25.0	38.4
71	88,74,49	88.0	74.0	49.0	88.0	49.0	39.0	38.4615384615
72	110,105,83	110.0	105.0	83.0	110.0	83.0	27.0	48.8888888889
73	44,26,15	44.0	26.0	15.0	44.0	15.0	29.0	22.7586206897
74	54,39,25	54.0	39.0	25.0	54.0	25.0	29.0	28.9655172414
75	69,42,20	69.0	42.0	20.0	69.0	20.0	49.0	26.9387755102
76	40,23,13	40.0	23.0	13.0	40.0	13.0	27.0	22.2222222222
77	53,37,22	53.0	37.0	22.0	53.0	22.0	31.0	29.0322580645
78	99,71,40	99.0	71.0	40.0	99.0	40.0	59.0	31.5254237288
79	32,21,15	32.0	21.0	15.0	32.0	15.0	17.0	21.1764705882
80	120,136,92	120.0	136.0	92.0	136.0	92.0	44.0	81.8181818182
81	89,86,54	89.0	86.0	54.0	89.0	54.0	35.0	54.8571428571
82	104,124,122	104.0	124.0	122.0	124.0	104.0	20.0	174.0
83	106,114,105	106.0	114.0	105.0	114.0	105.0	9.0	113.333333333
84	107,118,111	107.0	118.0	111.0	118.0	107.0	11.0	141.818181818
85	120,128,118	120.0	128.0	118.0	128.0	118.0	10.0	108.0
86	116,123,114	116.0	123.0	114.0	123.0	114.0	9.0	106.666666667
87	121,129,119	121.0	129.0	119.0	129.0	119.0	10.0	108.0
88	120,128,119	120.0	128.0	119.0	128.0	119.0	9.0	113.333333333
89	103,99,81	103.0	99.0	81.0	103.0	81.0	22.0	49.0909090909
90	130,147,117	130.0	147.0	117.0	147.0	117.0	30.0	94.0
91	85,90,81	85.0	90.0	81.0	90.0	81.0	9.0	93.3333333333
92	50,39,26	50.0	39.0	26.0	50.0	26.0	24.0	32.5
93	15,16,12	15.0	16.0	12.0	16.0	12.0	4.0	75.0
94	108,109,94	108.0	109.0	94.0	109.0	94.0	15.0	64.0
95	131,135,116	131.0	135.0	116.0	135.0	116.0	19.0	72.6315789474
96	146,170,175	146.0	170.0	175.0	175.0	146.0	29.0	190.344827586
97	94,93,75	94.0	93.0	75.0	94.0	75.0	19.0	56.8421052632
98	57,50,37	57.0	50.0	37.0	57.0	37.0	20.0	39.0
99	78,69,54	78.0	69.0	54.0	78.0	54.0	24.0	37.5
100	60,64,53	60.0	64.0	53.0	64.0	53.0	11.0	81.8181818182
101	75,68,52	75.0	68.0	52.0	75.0	52.0	23.0	41.7391304348
102	54,58,54	54.0	58.0	54.0	58.0	54.0	4.0	120.0
103	61,57,46	61.0	57.0	46.0	61.0	46.0	15.0	44.0
104	50,55,51	50.0	55.0	51.0	55.0	50.0	5.0	132.0
105	73,66,51	73.0	66.0	51.0	73.0	51.0	22.0	40.9090909091
106	58,56,47	58.0	56.0	47.0	58.0	47.0	11.0	49.0909090909
107	58,59,50	58.0	59.0	50.0	59.0	50.0	9.0	66.6666666667
108	74,71,52	74.0	71.0	52.0	74.0	52.0	22.0	51.8181818182
109	88,87,67	88.0	87.0	67.0	88.0	67.0	21.0	57.1428571429
110	34,30,17	34.0	30.0	17.0	34.0	17.0	17.0	45.8823529412
111	42,40,28	42.0	40.0	28.0	42.0	28.0	14.0	51.4285714286
