i	rgb	r	g	b	maxRGB	minRGB	c	h
120	45,44,38	45.0	44.0	38.0	45.0	38.0	7.0	51.4285714286
121	35,33,29	35.0	33.0	29.0	35.0	29.0	6.0	40.0
122	23,21,19	23.0	21.0	19.0	23.0	19.0	4.0	30.0
123	26,25,21	26.0	25.0	21.0	26.0	21.0	5.0	48.0
124	38,36,29	38.0	36.0	29.0	38.0	29.0	9.0	46.6666666667
125	28,27,23	28.0	27.0	23.0	28.0	23.0	5.0	48.0
126	31,29,24	31.0	29.0	24.0	31.0	24.0	7.0	42.8571428571
127	27,23,18	27.0	23.0	18.0	27.0	18.0	9.0	33.3333333333
128	24,24,21	24.0	24.0	21.0	24.0	21.0	3.0	60.0
129	42,42,38	42.0	42.0	38.0	42.0	38.0	4.0	60.0
130	38,39,35	38.0	39.0	35.0	39.0	35.0	4.0	75.0
131	29,28,24	29.0	28.0	24.0	29.0	24.0	5.0	48.0
132	34,33,30	34.0	33.0	30.0	34.0	30.0	4.0	45.0
133	56,54,39	56.0	54.0	39.0	56.0	39.0	17.0	52.9411764706
134	53,48,31	53.0	48.0	31.0	53.0	31.0	22.0	46.3636363636
135	45,37,24	45.0	37.0	24.0	45.0	24.0	21.0	37.1428571429
136	37,32,20	37.0	32.0	20.0	37.0	20.0	17.0	42.3529411765
137	35,30,21	35.0	30.0	21.0	35.0	21.0	14.0	38.5714285714
138	37,32,22	37.0	32.0	22.0	37.0	22.0	15.0	40.0
139	57,53,39	57.0	53.0	39.0	57.0	39.0	18.0	46.6666666667
140	70,59,33	70.0	59.0	33.0	70.0	33.0	37.0	42.1621621622
141	39,37,28	39.0	37.0	28.0	39.0	28.0	11.0	49.0909090909
142	39,41,38	39.0	41.0	38.0	41.0	38.0	3.0	100.0
143	37,39,35	37.0	39.0	35.0	39.0	35.0	4.0	90.0
144	47,50,44	47.0	50.0	44.0	50.0	44.0	6.0	90.0
145	55,52,42	55.0	52.0	42.0	55.0	42.0	13.0	46.1538461538
146	39,31,22	39.0	31.0	22.0	39.0	22.0	17.0	31.7647058824
147	47,44,34	47.0	44.0	34.0	47.0	34.0	13.0	46.1538461538
148	68,63,49	68.0	63.0	49.0	68.0	49.0	19.0	44.2105263158
149	41,34,23	41.0	34.0	23.0	41.0	23.0	18.0	36.6666666667
150	22,19,15	22.0	19.0	15.0	22.0	15.0	7.0	34.2857142857
151	24,20,15	24.0	20.0	15.0	24.0	15.0	9.0	33.3333333333
152	36,32,27	36.0	32.0	27.0	36.0	27.0	9.0	33.3333333333
153	29,24,17	29.0	24.0	17.0	29.0	17.0	12.0	35.0
154	39,36,28	39.0	36.0	28.0	39.0	28.0	11.0	43.6363636364
155	35,30,23	35.0	30.0	23.0	35.0	23.0	12.0	35.0
156	57,51,41	57.0	51.0	41.0	57.0	41.0	16.0	37.5
157	36,31,23	36.0	31.0	23.0	36.0	23.0	13.0	36.9230769231
158	45,42,35	45.0	42.0	35.0	45.0	35.0	10.0	42.0
159	44,41,36	44.0	41.0	36.0	44.0	36.0	8.0	37.5
160	61,55,46	61.0	55.0	46.0	61.0	46.0	15.0	36.0
161	39,41,35	39.0	41.0	35.0	41.0	35.0	6.0	80.0
162	33,34,30	33.0	34.0	30.0	34.0	30.0	4.0	75.0
163	44,44,37	44.0	44.0	37.0	44.0	37.0	7.0	60.0
164	38,39,32	38.0	39.0	32.0	39.0	32.0	7.0	68.5714285714
165	49,50,43	49.0	50.0	43.0	50.0	43.0	7.0	68.5714285714
166	31,33,27	31.0	33.0	27.0	33.0	27.0	6.0	80.0
167	21,21,15	21.0	21.0	15.0	21.0	15.0	6.0	60.0
168	17,17,13	17.0	17.0	13.0	17.0	13.0	4.0	60.0
169	18,18,13	18.0	18.0	13.0	18.0	13.0	5.0	60.0
170	17,17,13	17.0	17.0	13.0	17.0	13.0	4.0	60.0
171	27,26,19	27.0	26.0	19.0	27.0	19.0	8.0	52.5
172	22,20,16	22.0	20.0	16.0	22.0	16.0	6.0	40.0
173	18,18,17	18.0	18.0	17.0	18.0	17.0	1.0	60.0
174	13,12,10	13.0	12.0	10.0	13.0	10.0	3.0	40.0
175	26,23,17	26.0	23.0	17.0	26.0	17.0	9.0	40.0
176	13,15,12	13.0	15.0	12.0	15.0	12.0	3.0	100.0
177	36,37,37	36.0	37.0	37.0	37.0	36.0	1.0	180.0
178	61,61,49	61.0	61.0	49.0	61.0	49.0	12.0	60.0
179	61,50,32	61.0	50.0	32.0	61.0	32.0	29.0	37.2413793103
180	51,45,35	51.0	45.0	35.0	51.0	35.0	16.0	37.5
181	37,58,53	37.0	58.0	53.0	58.0	37.0	21.0	165.714285714
182	32,46,40	32.0	46.0	40.0	46.0	32.0	14.0	154.285714286
183	12,13,12	12.0	13.0	12.0	13.0	12.0	1.0	120.0
184	27,30,32	27.0	30.0	32.0	32.0	27.0	5.0	204.0
185	18,20,20	18.0	20.0	20.0	20.0	18.0	2.0	180.0
186	25,29,28	25.0	29.0	28.0	29.0	25.0	4.0	165.0
187	31,34,32	31.0	34.0	32.0	34.0	31.0	3.0	140.0
188	75,80,65	75.0	80.0	65.0	80.0	65.0	15.0	80.0
189	71,73,57	71.0	73.0	57.0	73.0	57.0	16.0	67.5
190	65,72,57	65.0	72.0	57.0	72.0	57.0	15.0	88.0
191	71,78,62	71.0	78.0	62.0	78.0	62.0	16.0	86.25
192	39,44,39	39.0	44.0	39.0	44.0	39.0	5.0	120.0
193	61,62,49	61.0	62.0	49.0	62.0	49.0	13.0	64.6153846154
194	19,20,16	19.0	20.0	16.0	20.0	16.0	4.0	75.0
195	21,21,16	21.0	21.0	16.0	21.0	16.0	5.0	60.0
196	17,18,14	17.0	18.0	14.0	18.0	14.0	4.0	75.0
197	22,24,20	22.0	24.0	20.0	24.0	20.0	4.0	90.0
198	14,15,13	14.0	15.0	13.0	15.0	13.0	2.0	90.0
199	16,16,14	16.0	16.0	14.0	16.0	14.0	2.0	60.0
200	63,90,86	63.0	90.0	86.0	90.0	63.0	27.0	171.111111111
201	79,78,67	79.0	78.0	67.0	79.0	67.0	12.0	55.0
202	29,25,18	29.0	25.0	18.0	29.0	18.0	11.0	38.1818181818
203	33,30,22	33.0	30.0	22.0	33.0	22.0	11.0	43.6363636364
204	80,77,60	80.0	77.0	60.0	80.0	60.0	20.0	51.0
205	85,80,61	85.0	80.0	61.0	85.0	61.0	24.0	47.5
206	30,27,19	30.0	27.0	19.0	30.0	19.0	11.0	43.6363636364
207	50,46,37	50.0	46.0	37.0	50.0	37.0	13.0	41.5384615385
208	55,48,32	55.0	48.0	32.0	55.0	32.0	23.0	41.7391304348
209	48,45,37	48.0	45.0	37.0	48.0	37.0	11.0	43.6363636364
210	62,60,52	62.0	60.0	52.0	62.0	52.0	10.0	48.0
211	63,60,53	63.0	60.0	53.0	63.0	53.0	10.0	42.0
212	39,38,32	39.0	38.0	32.0	39.0	32.0	7.0	51.4285714286
213	25,24,21	25.0	24.0	21.0	25.0	21.0	4.0	45.0
214	58,57,49	58.0	57.0	49.0	58.0	49.0	9.0	53.3333333333
215	23,20,17	23.0	20.0	17.0	23.0	17.0	6.0	30.0
216	48,42,30	48.0	42.0	30.0	48.0	30.0	18.0	40.0
217	54,48,31	54.0	48.0	31.0	54.0	31.0	23.0	44.347826087
