i	rgb	r	g	b	maxRGB	minRGB	c	h
376	20,16,9	20.0	16.0	9.0	20.0	9.0	11.0	38.1818181818
377	14,15,13	14.0	15.0	13.0	15.0	13.0	2.0	90.0
378	21,22,18	21.0	22.0	18.0	22.0	18.0	4.0	75.0
379	21,22,18	21.0	22.0	18.0	22.0	18.0	4.0	75.0
380	10,10,8	10.0	10.0	8.0	10.0	8.0	2.0	60.0
381	9,10,9	9.0	10.0	9.0	10.0	9.0	1.0	120.0
382	12,12,10	12.0	12.0	10.0	12.0	10.0	2.0	60.0
383	12,12,10	12.0	12.0	10.0	12.0	10.0	2.0	60.0
384	12,13,10	12.0	13.0	10.0	13.0	10.0	3.0	80.0
385	12,13,11	12.0	13.0	11.0	13.0	11.0	2.0	90.0
386	17,18,15	17.0	18.0	15.0	18.0	15.0	3.0	80.0
387	17,15,10	17.0	15.0	10.0	17.0	10.0	7.0	42.8571428571
388	10,9,7	10.0	9.0	7.0	10.0	7.0	3.0	40.0
389	10,9,7	10.0	9.0	7.0	10.0	7.0	3.0	40.0
390	12,11,7	12.0	11.0	7.0	12.0	7.0	5.0	48.0
391	16,14,10	16.0	14.0	10.0	16.0	10.0	6.0	40.0
392	15,13,9	15.0	13.0	9.0	15.0	9.0	6.0	40.0
393	16,14,10	16.0	14.0	10.0	16.0	10.0	6.0	40.0
394	13,11,8	13.0	11.0	8.0	13.0	8.0	5.0	36.0
395	16,14,9	16.0	14.0	9.0	16.0	9.0	7.0	42.8571428571
396	15,13,7	15.0	13.0	7.0	15.0	7.0	8.0	45.0
397	14,12,7	14.0	12.0	7.0	14.0	7.0	7.0	42.8571428571
398	14,13,8	14.0	13.0	8.0	14.0	8.0	6.0	50.0
399	11,10,7	11.0	10.0	7.0	11.0	7.0	4.0	45.0
400	14,13,8	14.0	13.0	8.0	14.0	8.0	6.0	50.0
401	12,11,7	12.0	11.0	7.0	12.0	7.0	5.0	48.0
402	14,13,8	14.0	13.0	8.0	14.0	8.0	6.0	50.0
403	17,15,11	17.0	15.0	11.0	17.0	11.0	6.0	40.0
404	30,28,19	30.0	28.0	19.0	30.0	19.0	11.0	49.0909090909
405	34,29,19	34.0	29.0	19.0	34.0	19.0	15.0	40.0
406	22,19,11	22.0	19.0	11.0	22.0	11.0	11.0	43.6363636364
407	26,23,13	26.0	23.0	13.0	26.0	13.0	13.0	46.1538461538
408	40,37,27	40.0	37.0	27.0	40.0	27.0	13.0	46.1538461538
409	50,44,30	50.0	44.0	30.0	50.0	30.0	20.0	42.0
410	50,44,30	50.0	44.0	30.0	50.0	30.0	20.0	42.0
411	52,48,33	52.0	48.0	33.0	52.0	33.0	19.0	47.3684210526
412	29,28,22	29.0	28.0	22.0	29.0	22.0	7.0	51.4285714286
413	58,52,36	58.0	52.0	36.0	58.0	36.0	22.0	43.6363636364
414	36,33,24	36.0	33.0	24.0	36.0	24.0	12.0	45.0
415	9,9,8	9.0	9.0	8.0	9.0	8.0	1.0	60.0
416	11,14,16	11.0	14.0	16.0	16.0	11.0	5.0	204.0
417	11,14,16	11.0	14.0	16.0	16.0	11.0	5.0	204.0
418	9,10,11	9.0	10.0	11.0	11.0	9.0	2.0	210.0
419	21,23,22	21.0	23.0	22.0	23.0	21.0	2.0	150.0
420	21,22,19	21.0	22.0	19.0	22.0	19.0	3.0	80.0
421	24,25,23	24.0	25.0	23.0	25.0	23.0	2.0	90.0
422	23,22,18	23.0	22.0	18.0	23.0	18.0	5.0	48.0
423	28,27,22	28.0	27.0	22.0	28.0	22.0	6.0	50.0
424	22,22,17	22.0	22.0	17.0	22.0	17.0	5.0	60.0
425	21,20,17	21.0	20.0	17.0	21.0	17.0	4.0	45.0
426	19,19,15	19.0	19.0	15.0	19.0	15.0	4.0	60.0
427	18,17,14	18.0	17.0	14.0	18.0	14.0	4.0	45.0
428	17,17,16	17.0	17.0	16.0	17.0	16.0	1.0	60.0
429	18,19,17	18.0	19.0	17.0	19.0	17.0	2.0	90.0
430	15,14,12	15.0	14.0	12.0	15.0	12.0	3.0	40.0
