i	rgb	r	g	b	maxRGB	minRGB	c	h
374	35,27,21	35.0	27.0	21.0	35.0	21.0	14.0	25.7142857143
375	48,40,32	48.0	40.0	32.0	48.0	32.0	16.0	30.0
376	114,118,118	114.0	118.0	118.0	118.0	114.0	4.0	180.0
377	75,73,70	75.0	73.0	70.0	75.0	70.0	5.0	36.0
378	53,38,30	53.0	38.0	30.0	53.0	30.0	23.0	20.8695652174
379	152,154,154	152.0	154.0	154.0	154.0	152.0	2.0	180.0
380	49,42,36	49.0	42.0	36.0	49.0	36.0	13.0	27.6923076923
381	68,60,54	68.0	60.0	54.0	68.0	54.0	14.0	25.7142857143
382	69,70,64	69.0	70.0	64.0	70.0	64.0	6.0	70.0
383	88,96,98	88.0	96.0	98.0	98.0	88.0	10.0	192.0
384	31,35,34	31.0	35.0	34.0	35.0	31.0	4.0	165.0
385	72,87,91	72.0	87.0	91.0	91.0	72.0	19.0	192.631578947
386	50,97,107	50.0	97.0	107.0	107.0	50.0	57.0	190.526315789
387	69,104,120	69.0	104.0	120.0	120.0	69.0	51.0	198.823529412
388	71,111,134	71.0	111.0	134.0	134.0	71.0	63.0	201.904761905
389	44,52,54	44.0	52.0	54.0	54.0	44.0	10.0	192.0
390	34,38,36	34.0	38.0	36.0	38.0	34.0	4.0	150.0
391	48,59,59	48.0	59.0	59.0	59.0	48.0	11.0	180.0
392	121,118,106	121.0	118.0	106.0	121.0	106.0	15.0	48.0
393	60,61,54	60.0	61.0	54.0	61.0	54.0	7.0	68.5714285714
394	26,25,23	26.0	25.0	23.0	26.0	23.0	3.0	40.0
395	40,47,46	40.0	47.0	46.0	47.0	40.0	7.0	171.428571429
396	37,42,36	37.0	42.0	36.0	42.0	36.0	6.0	110.0
397	40,44,41	40.0	44.0	41.0	44.0	40.0	4.0	135.0
398	40,44,41	40.0	44.0	41.0	44.0	40.0	4.0	135.0
399	35,38,35	35.0	38.0	35.0	38.0	35.0	3.0	120.0
400	29,29,24	29.0	29.0	24.0	29.0	24.0	5.0	60.0
401	43,48,43	43.0	48.0	43.0	48.0	43.0	5.0	120.0
402	19,23,20	19.0	23.0	20.0	23.0	19.0	4.0	135.0
403	123,116,107	123.0	116.0	107.0	123.0	107.0	16.0	33.75
404	39,39,33	39.0	39.0	33.0	39.0	33.0	6.0	60.0
405	64,66,56	64.0	66.0	56.0	66.0	56.0	10.0	72.0
406	70,73,69	70.0	73.0	69.0	73.0	69.0	4.0	105.0
407	78,79,73	78.0	79.0	73.0	79.0	73.0	6.0	70.0
408	55,57,53	55.0	57.0	53.0	57.0	53.0	4.0	90.0
409	41,42,39	41.0	42.0	39.0	42.0	39.0	3.0	80.0
410	59,60,56	59.0	60.0	56.0	60.0	56.0	4.0	75.0
411	53,52,49	53.0	52.0	49.0	53.0	49.0	4.0	45.0
412	8,7,7	8.0	7.0	7.0	8.0	7.0	1.0	0.0
413	52,52,51	52.0	52.0	51.0	52.0	51.0	1.0	60.0
414	38,37,27	38.0	37.0	27.0	38.0	27.0	11.0	54.5454545455
415	37,39,29	37.0	39.0	29.0	39.0	29.0	10.0	72.0
416	88,86,81	88.0	86.0	81.0	88.0	81.0	7.0	42.8571428571
417	52,47,34	52.0	47.0	34.0	52.0	34.0	18.0	43.3333333333
418	57,54,44	57.0	54.0	44.0	57.0	44.0	13.0	46.1538461538
