i	rgb	r	g	b	maxRGB	minRGB	c	h
98	74,64,50	74.0	64.0	50.0	74.0	50.0	24.0	35.0
99	107,101,93	107.0	101.0	93.0	107.0	93.0	14.0	34.2857142857
100	73,65,51	73.0	65.0	51.0	73.0	51.0	22.0	38.1818181818
101	90,82,76	90.0	82.0	76.0	90.0	76.0	14.0	25.7142857143
102	72,64,51	72.0	64.0	51.0	72.0	51.0	21.0	37.1428571429
103	103,94,86	103.0	94.0	86.0	103.0	86.0	17.0	28.2352941176
104	60,53,41	60.0	53.0	41.0	60.0	41.0	19.0	37.8947368421
105	81,71,55	81.0	71.0	55.0	81.0	55.0	26.0	36.9230769231
106	94,86,74	94.0	86.0	74.0	94.0	74.0	20.0	36.0
107	115,106,91	115.0	106.0	91.0	115.0	91.0	24.0	37.5
108	95,86,73	95.0	86.0	73.0	95.0	73.0	22.0	35.4545454545
109	98,91,85	98.0	91.0	85.0	98.0	85.0	13.0	27.6923076923
110	54,49,40	54.0	49.0	40.0	54.0	40.0	14.0	38.5714285714
111	122,112,100	122.0	112.0	100.0	122.0	100.0	22.0	32.7272727273
112	42,45,45	42.0	45.0	45.0	45.0	42.0	3.0	180.0
113	21,16,13	21.0	16.0	13.0	21.0	13.0	8.0	22.5
114	73,78,74	73.0	78.0	74.0	78.0	73.0	5.0	132.0
115	33,26,23	33.0	26.0	23.0	33.0	23.0	10.0	18.0
116	18,16,13	18.0	16.0	13.0	18.0	13.0	5.0	36.0
117	8,6,4	8.0	6.0	4.0	8.0	4.0	4.0	30.0
118	60,56,59	60.0	56.0	59.0	60.0	56.0	4.0	315.0
119	74,70,71	74.0	70.0	71.0	74.0	70.0	4.0	345.0
120	103,99,101	103.0	99.0	101.0	103.0	99.0	4.0	330.0
121	66,54,44	66.0	54.0	44.0	66.0	44.0	22.0	27.2727272727
122	51,46,39	51.0	46.0	39.0	51.0	39.0	12.0	35.0
123	23,22,19	23.0	22.0	19.0	23.0	19.0	4.0	45.0
124	32,33,34	32.0	33.0	34.0	34.0	32.0	2.0	210.0
125	59,50,39	59.0	50.0	39.0	59.0	39.0	20.0	33.0
126	57,48,38	57.0	48.0	38.0	57.0	38.0	19.0	31.5789473684
127	53,49,43	53.0	49.0	43.0	53.0	43.0	10.0	36.0
128	55,48,39	55.0	48.0	39.0	55.0	39.0	16.0	33.75
129	51,57,56	51.0	57.0	56.0	57.0	51.0	6.0	170.0
130	107,91,84	107.0	91.0	84.0	107.0	84.0	23.0	18.2608695652
131	118,106,101	118.0	106.0	101.0	118.0	101.0	17.0	17.6470588235
132	54,48,41	54.0	48.0	41.0	54.0	41.0	13.0	32.3076923077
133	68,61,51	68.0	61.0	51.0	68.0	51.0	17.0	35.2941176471
134	114,100,94	114.0	100.0	94.0	114.0	94.0	20.0	18.0
135	85,84,74	85.0	84.0	74.0	85.0	74.0	11.0	54.5454545455
136	59,64,64	59.0	64.0	64.0	64.0	59.0	5.0	180.0
137	78,80,76	78.0	80.0	76.0	80.0	76.0	4.0	90.0
138	54,52,47	54.0	52.0	47.0	54.0	47.0	7.0	42.8571428571
139	47,40,30	47.0	40.0	30.0	47.0	30.0	17.0	35.2941176471
140	77,78,71	77.0	78.0	71.0	78.0	71.0	7.0	68.5714285714
141	101,107,104	101.0	107.0	104.0	107.0	101.0	6.0	150.0
142	134,129,122	134.0	129.0	122.0	134.0	122.0	12.0	35.0
143	124,117,110	124.0	117.0	110.0	124.0	110.0	14.0	30.0
144	63,73,76	63.0	73.0	76.0	76.0	63.0	13.0	193.846153846
145	31,37,34	31.0	37.0	34.0	37.0	31.0	6.0	150.0
146	23,30,28	23.0	30.0	28.0	30.0	23.0	7.0	162.857142857
147	18,22,20	18.0	22.0	20.0	22.0	18.0	4.0	150.0
148	24,28,27	24.0	28.0	27.0	28.0	24.0	4.0	165.0
149	27,36,33	27.0	36.0	33.0	36.0	27.0	9.0	160.0
150	27,33,30	27.0	33.0	30.0	33.0	27.0	6.0	150.0
151	68,67,55	68.0	67.0	55.0	68.0	55.0	13.0	55.3846153846
152	37,35,29	37.0	35.0	29.0	37.0	29.0	8.0	45.0
153	54,52,40	54.0	52.0	40.0	54.0	40.0	14.0	51.4285714286
154	96,95,79	96.0	95.0	79.0	96.0	79.0	17.0	56.4705882353
155	106,104,78	106.0	104.0	78.0	106.0	78.0	28.0	55.7142857143
156	87,84,64	87.0	84.0	64.0	87.0	64.0	23.0	52.1739130435
157	88,87,74	88.0	87.0	74.0	88.0	74.0	14.0	55.7142857143
158	56,50,30	56.0	50.0	30.0	56.0	30.0	26.0	46.1538461538
159	52,51,45	52.0	51.0	45.0	52.0	45.0	7.0	51.4285714286
160	39,38,36	39.0	38.0	36.0	39.0	36.0	3.0	40.0
161	84,76,71	84.0	76.0	71.0	84.0	71.0	13.0	23.0769230769
162	99,91,87	99.0	91.0	87.0	99.0	87.0	12.0	20.0
163	114,114,100	114.0	114.0	100.0	114.0	100.0	14.0	60.0
164	94,98,88	94.0	98.0	88.0	98.0	88.0	10.0	84.0
165	39,36,27	39.0	36.0	27.0	39.0	27.0	12.0	45.0
166	22,22,16	22.0	22.0	16.0	22.0	16.0	6.0	60.0
167	38,35,27	38.0	35.0	27.0	38.0	27.0	11.0	43.6363636364
168	21,18,12	21.0	18.0	12.0	21.0	12.0	9.0	40.0
169	20,16,9	20.0	16.0	9.0	20.0	9.0	11.0	38.1818181818
170	16,13,11	16.0	13.0	11.0	16.0	11.0	5.0	24.0
171	21,18,16	21.0	18.0	16.0	21.0	16.0	5.0	24.0
172	34,25,15	34.0	25.0	15.0	34.0	15.0	19.0	31.5789473684
173	11,9,7	11.0	9.0	7.0	11.0	7.0	4.0	30.0
174	116,109,103	116.0	109.0	103.0	116.0	103.0	13.0	27.6923076923
175	112,104,100	112.0	104.0	100.0	112.0	100.0	12.0	20.0
176	117,109,105	117.0	109.0	105.0	117.0	105.0	12.0	20.0
177	124,115,108	124.0	115.0	108.0	124.0	108.0	16.0	26.25
178	125,116,111	125.0	116.0	111.0	125.0	111.0	14.0	21.4285714286
179	125,115,111	125.0	115.0	111.0	125.0	111.0	14.0	17.1428571429
180	67,61,54	67.0	61.0	54.0	67.0	54.0	13.0	32.3076923077
181	28,31,27	28.0	31.0	27.0	31.0	27.0	4.0	105.0
182	12,13,12	12.0	13.0	12.0	13.0	12.0	1.0	120.0
183	25,20,13	25.0	20.0	13.0	25.0	13.0	12.0	35.0
184	44,36,30	44.0	36.0	30.0	44.0	30.0	14.0	25.7142857143
185	47,40,34	47.0	40.0	34.0	47.0	34.0	13.0	27.6923076923
186	27,20,15	27.0	20.0	15.0	27.0	15.0	12.0	25.0
187	33,26,21	33.0	26.0	21.0	33.0	21.0	12.0	25.0
188	34,29,25	34.0	29.0	25.0	34.0	25.0	9.0	26.6666666667
189	21,17,12	21.0	17.0	12.0	21.0	12.0	9.0	33.3333333333
190	24,19,13	24.0	19.0	13.0	24.0	13.0	11.0	32.7272727273
191	33,25,19	33.0	25.0	19.0	33.0	19.0	14.0	25.7142857143
192	51,44,32	51.0	44.0	32.0	51.0	32.0	19.0	37.8947368421
193	35,71,76	35.0	71.0	76.0	76.0	35.0	41.0	187.317073171
194	71,29,14	71.0	29.0	14.0	71.0	14.0	57.0	15.7894736842
195	28,20,9	28.0	20.0	9.0	28.0	9.0	19.0	34.7368421053
196	66,53,36	66.0	53.0	36.0	66.0	36.0	30.0	34.0
197	73,75,59	73.0	75.0	59.0	75.0	59.0	16.0	67.5
198	34,28,19	34.0	28.0	19.0	34.0	19.0	15.0	36.0
199	32,30,24	32.0	30.0	24.0	32.0	24.0	8.0	45.0
200	107,86,69	107.0	86.0	69.0	107.0	69.0	38.0	26.8421052632
201	101,82,65	101.0	82.0	65.0	101.0	65.0	36.0	28.3333333333
202	63,48,39	63.0	48.0	39.0	63.0	39.0	24.0	22.5
203	39,37,33	39.0	37.0	33.0	39.0	33.0	6.0	40.0
204	23,20,17	23.0	20.0	17.0	23.0	17.0	6.0	30.0
205	33,32,26	33.0	32.0	26.0	33.0	26.0	7.0	51.4285714286
206	42,41,37	42.0	41.0	37.0	42.0	37.0	5.0	48.0
207	61,61,49	61.0	61.0	49.0	61.0	49.0	12.0	60.0
208	43,49,52	43.0	49.0	52.0	52.0	43.0	9.0	200.0
209	39,35,30	39.0	35.0	30.0	39.0	30.0	9.0	33.3333333333
210	42,36,29	42.0	36.0	29.0	42.0	29.0	13.0	32.3076923077
211	35,33,29	35.0	33.0	29.0	35.0	29.0	6.0	40.0
212	38,33,28	38.0	33.0	28.0	38.0	28.0	10.0	30.0
213	75,72,58	75.0	72.0	58.0	75.0	58.0	17.0	49.4117647059
214	97,86,78	97.0	86.0	78.0	97.0	78.0	19.0	25.2631578947
215	109,97,85	109.0	97.0	85.0	109.0	85.0	24.0	30.0
216	109,97,89	109.0	97.0	89.0	109.0	89.0	20.0	24.0
217	87,75,67	87.0	75.0	67.0	87.0	67.0	20.0	24.0
218	66,55,39	66.0	55.0	39.0	66.0	39.0	27.0	35.5555555556
219	107,98,91	107.0	98.0	91.0	107.0	91.0	16.0	26.25
220	144,136,125	144.0	136.0	125.0	144.0	125.0	19.0	34.7368421053
221	90,75,54	90.0	75.0	54.0	90.0	54.0	36.0	35.0
222	40,41,34	40.0	41.0	34.0	41.0	34.0	7.0	68.5714285714
223	109,96,74	109.0	96.0	74.0	109.0	74.0	35.0	37.7142857143
224	93,79,55	93.0	79.0	55.0	93.0	55.0	38.0	37.8947368421
225	73,69,53	73.0	69.0	53.0	73.0	53.0	20.0	48.0
226	96,88,66	96.0	88.0	66.0	96.0	66.0	30.0	44.0
227	85,79,65	85.0	79.0	65.0	85.0	65.0	20.0	42.0
228	96,91,88	96.0	91.0	88.0	96.0	88.0	8.0	22.5
229	151,168,186	151.0	168.0	186.0	186.0	151.0	35.0	210.857142857
230	112,104,91	112.0	104.0	91.0	112.0	91.0	21.0	37.1428571429
231	41,61,61	41.0	61.0	61.0	61.0	41.0	20.0	180.0
232	98,109,104	98.0	109.0	104.0	109.0	98.0	11.0	152.727272727
233	65,57,50	65.0	57.0	50.0	65.0	50.0	15.0	28.0
234	100,97,90	100.0	97.0	90.0	100.0	90.0	10.0	42.0
235	42,36,31	42.0	36.0	31.0	42.0	31.0	11.0	27.2727272727
236	96,86,65	96.0	86.0	65.0	96.0	65.0	31.0	40.6451612903
237	19,24,23	19.0	24.0	23.0	24.0	19.0	5.0	168.0
238	19,20,20	19.0	20.0	20.0	20.0	19.0	1.0	180.0
239	49,50,48	49.0	50.0	48.0	50.0	48.0	2.0	90.0
240	24,24,24	24.0	24.0	24.0	24.0	24.0	0.0	0.0
241	19,18,15	19.0	18.0	15.0	19.0	15.0	4.0	45.0
242	23,22,19	23.0	22.0	19.0	23.0	19.0	4.0	45.0
243	30,24,17	30.0	24.0	17.0	30.0	17.0	13.0	32.3076923077
244	31,24,17	31.0	24.0	17.0	31.0	17.0	14.0	30.0
245	23,17,12	23.0	17.0	12.0	23.0	12.0	11.0	27.2727272727
